Forehead,InnerEyeCorner ,OuterEyeCorner ,NoseTip ,MouthCorner ,Cheek,Ear,CoreTemp
99.52,99.32,97.24,95.96,98.54,96.14,98.95,98.7
98.03,98.88,97.92,96.43,99.14,96.45,98.68,98.32
97.79,99.21,97.28,95.43,97.29,97.74,97.96,98.49
97.98,98.1,97.3,95.61,98.68,97.85,98.38,99.38
98.1,98.9,97.54,96.25,98.22,97.22,97.96,98.89
97.44,98.49,97.16,96.81,97.92,95.79,98.71,98.51
97.55,98.37,97.47,97.04,99.32,97.46,98.68,98.88
97.79,98.84,97.89,95.51,97.4,97.95,98.64,98.25
97.24,97.87,97.17,96.5,98.2,96.8,99.15,98.77
95.76,99.36,97.43,96.2,97.8,96.41,99.23,98.5
96.75,98.3,98.0,96.14,97.88,97.2,98.16,98.27
98.96,97.88,98.06,96.34,98.4,96.02,100.17,98.5
98.05,98.3,97.5,95.92,98.09,97.18,98.47,98.51
96.91,98.13,97.24,96.31,98.95,96.88,98.09,98.69
98.56,98.62,97.5,95.64,97.91,98.08,98.64,98.55
96.2,98.93,96.98,96.02,98.26,97.77,99.36,98.59
98.71,99.23,96.62,96.89,97.93,97.06,98.76,99.16
97.26,98.91,96.66,97.06,97.61,97.57,98.75,98.25
97.22,98.22,98.27,96.79,98.48,96.95,98.65,98.3
99.44,98.28,97.17,96.32,98.24,97.3,98.81,98.99
98.04,98.19,97.52,96.3,98.43,97.13,98.16,98.97
96.34,98.73,97.15,95.63,98.41,97.28,99.16,98.8
97.21,98.32,97.61,96.49,98.31,97.98,98.27,98.69
95.94,99.24,97.1,96.72,97.83,97.92,99.08,98.38
97.76,97.93,97.89,96.37,97.89,97.4,98.38,98.21
98.72,98.89,97.6,96.88,98.32,96.46,98.64,98.77
97.18,99.3,97.53,95.37,97.09,97.81,99.15,99.19
97.03,98.69,97.47,96.53,98.0,98.03,98.42,98.65
99.34,99.03,97.47,96.35,97.88,97.63,98.8,98.77
96.04,98.69,98.14,96.17,98.08,97.0,98.43,98.65
99.0,98.39,96.91,96.16,98.35,98.31,98.63,98.7
97.61,97.71,97.4,96.48,97.95,97.34,98.31,98.5
96.71,99.86,97.2,96.02,98.46,97.67,98.54,98.74
98.07,98.94,97.28,95.73,98.17,97.78,98.47,98.59
97.51,98.36,97.67,95.77,98.0,96.78,99.57,98.63
96.17,98.64,97.56,96.42,98.12,97.27,99.18,99.15
96.76,98.74,98.01,96.6,98.9,96.67,98.77,98.66
97.64,98.28,97.23,97.38,98.48,96.49,98.62,98.94
97.82,98.76,97.92,96.54,98.42,97.64,98.01,98.34
98.74,98.47,98.01,96.75,98.39,97.29,99.14,98.51
96.59,99.0,97.68,95.81,97.66,98.24,98.34,99.15
97.73,98.77,97.91,96.08,97.64,96.89,98.92,99.02
97.56,98.34,97.11,96.24,98.31,98.45,98.53,98.51
97.58,97.91,97.25,96.79,98.13,97.42,99.61,99.25
97.65,99.3,98.07,96.94,97.9,97.38,98.35,98.38
97.04,98.6,97.41,94.55,98.29,96.95,98.22,98.31
97.32,98.52,97.9,96.21,97.78,98.06,99.12,98.67
96.64,97.85,97.51,96.07,98.64,97.7,99.17,98.64
97.12,98.72,97.96,97.07,97.55,96.96,98.37,98.94
95.46,98.42,97.78,96.32,98.45,97.74,99.32,98.47
96.75,98.75,97.11,96.41,98.42,97.71,98.99,98.25
96.85,98.6,97.62,96.82,98.76,96.4,98.55,98.73
97.87,98.83,97.29,96.47,98.09,97.79,98.87,98.59
98.87,98.48,97.25,96.83,98.92,97.4,99.07,98.65
97.2,98.52,97.16,96.57,98.65,98.25,98.44,98.49
97.39,98.54,98.32,97.31,98.03,97.62,98.41,98.23
96.2,98.14,97.77,96.97,98.27,97.8,99.2,98.46
97.0,98.97,96.53,96.38,97.88,97.7,98.41,98.14
97.69,98.26,97.17,96.59,98.03,96.96,98.69,98.47
98.48,97.97,97.27,94.86,97.94,97.39,98.72,98.42
98.15,97.91,97.09,95.84,98.4,97.38,98.94,98.36
96.77,99.67,97.35,96.2,97.61,97.31,98.68,98.73
98.04,98.48,97.18,96.53,98.79,97.43,97.72,98.93
97.75,98.73,97.55,96.46,98.62,96.83,98.81,98.42
99.0,99.03,97.52,96.23,98.46,98.73,99.24,98.51
98.37,98.86,97.74,96.57,97.81,97.24,98.73,99.13
98.01,98.71,97.5,96.28,97.93,97.31,99.25,98.76
98.47,98.56,98.03,97.05,98.17,97.5,98.31,98.55
98.34,98.37,98.12,96.19,98.67,97.11,98.48,98.84
98.64,98.64,98.74,96.25,98.22,97.37,97.82,98.39
97.11,98.62,97.54,96.31,98.1,97.12,99.66,98.37
96.9,98.82,98.46,96.04,99.08,97.31,98.64,98.27
97.15,98.43,97.6,96.27,98.33,97.96,98.48,98.93
96.91,98.66,97.0,96.24,98.26,97.65,99.42,99.22
98.97,98.69,97.54,96.1,98.58,97.45,98.93,98.34
97.69,99.08,97.41,95.45,98.74,98.28,99.19,98.76
98.42,98.06,98.12,96.2,98.47,97.18,98.37,98.3
97.79,97.89,97.56,96.12,99.55,98.12,98.61,99.16
97.81,98.4,98.02,96.46,99.35,97.16,98.56,99.06
97.99,97.92,97.67,96.97,98.11,97.46,98.89,98.82
97.2,99.11,97.36,96.03,98.41,97.89,99.52,98.36
97.91,98.56,96.57,95.7,98.24,97.31,98.71,98.88
96.86,97.99,97.01,96.66,97.7,97.73,98.79,98.72
98.15,99.19,98.02,96.17,97.8,97.1,98.82,98.72
96.41,98.5,97.87,96.68,97.73,97.79,98.96,98.88
96.99,98.99,98.38,96.87,98.83,97.64,98.28,98.37
96.01,99.06,97.6,96.68,97.33,97.31,99.44,98.5
96.93,98.35,97.9,95.81,98.49,97.7,98.58,98.91
98.02,98.57,97.72,96.39,97.92,97.37,98.98,98.78
96.85,98.43,97.04,97.28,98.22,97.74,98.74,98.77
98.29,98.59,98.0,95.17,98.59,96.97,97.94,98.56
98.25,98.56,97.85,96.63,98.69,97.69,99.04,98.66
97.64,98.31,97.57,97.32,98.52,96.91,98.21,98.56
98.25,99.38,96.99,95.43,98.02,98.01,99.01,99.0
96.98,99.01,96.65,95.66,98.0,97.65,98.27,98.8
97.99,98.13,97.19,96.5,97.74,97.01,99.12,99.06
97.11,98.26,97.42,95.76,98.09,97.73,98.26,98.51
97.89,98.65,97.02,95.29,98.68,97.21,98.53,99.08
96.9,98.14,97.48,96.11,98.87,97.22,98.83,98.53
96.35,98.75,97.6,95.93,98.06,97.71,99.1,98.55
98.69,98.94,98.1,96.13,97.9,98.3,98.81,98.93
97.97,98.65,96.98,96.3,98.33,98.26,98.42,98.64
96.34,98.7,97.68,96.41,98.12,97.67,97.77,99.12
97.81,98.77,97.44,95.9,98.46,97.56,99.2,98.75
97.24,98.64,96.83,96.36,98.56,97.03,98.7,99.15
96.21,98.39,98.37,95.76,98.82,97.21,98.03,98.64
96.95,99.17,98.03,96.41,97.67,97.36,98.96,98.58
96.84,98.44,97.52,95.59,98.54,96.84,97.86,98.32
97.68,98.31,97.5,96.4,98.19,96.75,98.11,98.49
96.21,98.16,97.7,96.05,98.32,97.43,98.91,98.96
96.96,99.43,97.11,95.92,98.42,97.89,98.68,99.07
97.22,98.34,97.12,96.22,98.35,97.81,99.02,98.2
95.43,98.61,96.88,97.42,99.31,97.87,98.38,98.83
97.22,99.31,97.89,95.79,98.07,97.35,99.23,98.9
99.16,97.2,97.58,96.8,98.47,96.61,99.03,98.56
97.81,98.49,97.56,95.64,98.63,97.59,98.8,98.73
96.78,98.0,97.94,96.18,97.71,97.33,97.91,98.51
99.08,98.37,97.08,96.08,98.36,97.08,98.71,98.94
98.54,99.26,96.78,96.58,98.31,98.01,98.64,98.95
97.79,97.73,98.57,95.24,98.16,97.29,98.39,98.78
97.07,99.01,97.0,96.1,97.77,97.37,98.83,98.63
96.22,98.96,97.47,96.76,97.09,97.99,98.79,98.9
96.9,98.32,97.52,96.53,98.68,97.0,98.15,98.82
96.92,99.59,96.97,95.91,98.41,96.72,98.67,98.5
97.99,98.14,97.74,95.53,99.34,96.77,98.42,98.61
95.75,99.07,97.55,96.72,97.85,97.54,98.03,98.75
98.46,98.51,97.61,96.0,98.33,97.46,99.5,98.65
98.24,98.66,97.68,96.17,97.95,97.05,98.84,98.64
99.6,98.24,96.89,96.35,98.3,96.98,98.79,98.44
97.48,98.66,97.96,95.24,98.06,97.93,98.64,98.46
98.68,98.82,97.81,95.78,98.72,97.66,99.02,98.44
98.9,98.6,97.16,96.22,97.2,97.09,98.29,97.95
98.61,98.47,97.12,95.56,98.55,97.79,98.33,98.5
97.88,97.68,97.91,96.42,98.61,97.15,99.15,98.5
95.86,98.52,97.37,95.62,98.06,97.7,98.3,98.84
97.77,99.3,97.2,95.81,97.83,97.81,98.32,98.84
97.68,98.68,97.27,95.14,97.63,97.61,98.84,98.46
97.07,98.96,97.23,97.09,98.47,97.28,99.26,98.71
96.32,99.19,98.06,95.95,97.87,96.91,98.84,98.45
97.53,98.38,97.15,95.95,98.24,97.64,98.97,98.57
98.83,98.72,97.31,95.22,98.18,97.59,98.23,98.84
96.35,98.21,97.84,95.59,97.94,97.15,98.57,98.7
97.62,98.98,97.02,96.02,98.4,97.71,99.16,98.92
97.94,98.34,97.55,97.16,97.64,97.69,98.33,98.78
97.23,98.28,97.76,96.26,98.17,98.09,98.73,98.21
98.99,98.44,97.41,95.81,97.55,97.85,98.53,98.57
97.92,98.78,96.94,96.17,97.66,96.64,99.13,98.25
96.75,98.16,97.47,96.84,98.5,98.04,98.53,98.39
97.75,98.53,97.82,96.11,98.8,97.78,98.84,98.64
96.92,98.99,97.41,97.0,98.38,97.8,98.68,98.45
97.31,98.72,97.66,95.52,98.28,97.72,98.81,98.84
97.24,99.15,96.82,97.34,97.17,99.15,98.96,98.42
98.33,98.84,97.24,96.11,97.83,97.78,98.15,98.88
97.97,98.62,97.59,95.66,98.07,96.65,98.37,98.61
96.44,98.77,97.83,96.1,98.24,97.44,99.16,99.11
98.22,98.91,98.1,95.69,98.42,98.12,98.3,98.39
97.67,98.84,97.75,97.07,97.84,97.28,98.48,98.77
97.06,97.72,97.37,96.1,98.28,96.76,98.84,98.72
99.17,99.24,97.98,95.59,98.91,96.99,98.43,98.94
97.87,98.66,96.65,96.15,99.18,96.95,98.72,98.4
95.75,98.45,97.51,96.5,97.89,96.83,99.38,98.99
96.19,98.99,98.28,96.31,98.33,97.6,99.06,98.68
98.0,98.07,97.04,97.06,98.26,96.32,97.82,98.57
96.11,98.42,97.82,96.21,98.16,97.48,99.71,98.31
96.22,98.85,97.87,96.13,97.94,98.07,98.15,98.89
97.2,98.76,97.13,94.91,98.77,97.64,99.17,98.21
97.15,99.09,97.17,96.33,98.63,98.19,98.42,98.51
97.78,98.14,98.25,95.25,98.19,97.87,100.03,98.54
96.86,98.38,97.47,96.79,97.87,97.08,99.1,98.57
96.9,98.32,97.83,96.81,98.27,98.08,99.04,98.53
97.22,98.1,96.03,96.03,98.51,97.98,98.92,98.81
98.1,98.77,98.4,96.03,98.53,96.95,99.66,99.15
98.58,99.04,97.62,96.7,98.86,97.49,99.39,98.69
97.71,98.37,97.02,96.14,98.94,96.56,98.45,98.41
96.72,99.15,97.56,96.0,97.92,98.12,99.78,98.59
95.48,98.27,97.62,97.71,97.55,97.98,97.99,98.16
98.58,98.18,97.43,96.24,98.19,97.1,97.98,98.97
98.74,98.63,97.98,94.91,98.92,96.63,98.91,99.09
98.04,98.38,97.28,95.76,97.57,97.22,99.57,98.65
96.12,98.95,97.75,95.82,99.0,97.23,98.35,98.3
99.6,97.75,98.05,96.83,98.08,97.44,98.54,98.36
98.42,98.08,97.01,96.33,98.18,97.7,98.03,98.41
99.29,99.11,98.01,95.68,97.71,97.72,98.76,98.76
95.56,99.15,98.61,96.44,98.59,97.33,98.82,98.44
97.39,98.42,98.0,96.38,99.05,97.54,98.37,98.59
96.05,98.4,97.4,97.01,98.55,97.9,99.34,98.27
96.0,97.91,97.94,95.91,97.9,97.31,99.13,98.95
97.47,98.66,97.76,96.83,97.75,98.32,99.3,98.65
98.38,98.73,96.39,96.31,98.58,97.29,98.57,99.3
98.2,98.52,98.04,96.95,98.85,97.71,98.38,98.71
97.72,97.75,97.88,96.32,98.41,97.32,98.84,98.5
96.77,97.99,97.88,96.45,97.99,96.77,98.3,98.43
98.79,98.59,98.08,96.26,98.19,98.09,98.68,98.7
98.54,98.4,97.37,96.09,98.41,96.48,99.21,98.64
98.01,99.67,97.28,95.91,98.18,97.57,98.95,98.52
98.42,98.57,97.13,97.51,98.5,97.81,99.22,99.39
98.68,97.75,97.9,95.48,97.78,97.0,98.76,98.7
97.99,98.6,97.39,95.98,97.69,96.67,98.15,98.76
98.12,98.82,97.44,96.28,98.67,98.04,98.52,98.42
98.63,99.28,96.75,97.57,97.15,97.27,98.59,98.61
98.66,98.4,96.76,96.72,97.84,97.03,99.01,98.7
97.91,98.54,97.59,96.76,98.11,97.93,98.74,98.02
96.87,98.72,97.63,97.6,98.46,97.44,99.57,99.15
95.17,98.72,98.23,95.95,98.23,97.41,98.2,98.83
98.73,98.74,97.47,96.09,97.32,96.88,98.49,98.92
98.24,99.06,98.34,96.6,97.69,97.63,98.87,98.99
99.03,99.11,97.76,96.58,97.95,97.67,98.86,98.89
96.86,98.67,96.28,96.2,98.68,97.12,99.56,98.99
96.84,98.58,97.71,96.56,98.17,97.37,97.77,98.32
99.24,98.72,97.55,96.85,98.05,96.91,98.91,98.71
97.91,98.5,98.06,95.36,98.1,97.46,99.24,98.72
99.58,98.34,98.01,96.02,98.91,96.77,99.35,98.61
96.95,98.89,97.68,97.01,98.05,97.55,98.7,98.43
97.3,98.72,98.0,96.61,98.08,97.02,98.25,98.37
96.66,98.57,98.1,96.22,97.46,97.0,98.51,98.47
97.33,98.39,96.47,97.55,97.33,97.29,98.68,98.53
96.8,98.69,97.93,95.89,97.33,97.82,99.21,98.5
96.16,98.1,98.05,95.99,98.07,97.05,98.41,98.72
98.62,99.49,97.76,95.89,97.94,97.8,98.75,98.96
